customer_age,customer_income,account_age_days,is_foreign_transaction,device_fingerprint_age_days,merchant_risk_score,transaction_amount,transaction_velocity_24h,is_fraud
46,67221.20588665546,432,0,179,0.35110521955252094,3310.871656118987,1,0
26,8307.182205246696,1265,0,0,0.3238462469945917,1271.1116461421134,2,0
53,29979.642850528027,710,0,20,0.023136633608442637,1838.280012890221,4,0
56,15176.312308647828,494,0,35,0.16517708992867142,1159.8916911593249,2,0
18,358944.265637845,436,0,24,0.5633989955942282,14892.100858924632,2,1
22,16268.34375341357,648,0,10,0.1347700823598729,1472.545789077803,3,0
43,10962.161971995884,140,0,27,0.12488296117949654,1409.3558504950156,3,0
37,3958.82627554615,903,0,61,0.41789654783694863,755.8598021688583,2,0
41,15851.010470094678,239,0,78,0.4220021894689718,1173.285949979952,3,0
29,40065.779063566275,29,0,225,0.12972367458973325,2121.820797310414,1,1
55,86664.41474483973,86,0,139,0.5168652262739358,4185.444889048313,3,0
53,15426.80760791746,53,0,53,0.3232857700381144,1128.0518630254633,2,0
42,92705.25917354897,245,0,30,0.4779967823919152,4520.901395746385,5,1
58,34511.47443817224,215,0,23,0.10497396446306585,2457.4064503895893,1,0
49,24628.714575567454,797,0,225,0.22574958595354244,1598.1513182798994,2,0
29,41700.60373368581,284,0,18,0.40957339246705116,2285.6372606961118,1,0
47,112877.40595592854,232,0,68,0.02852296209576208,5396.888837741573,5,0
27,37831.09140297948,110,1,37,0.10904982301949726,2238.230122761395,4,0
55,14963.822045392842,513,0,50,0.428262153603987,1216.440581503408,1,0
41,50986.35204861156,535,0,92,0.03849952858124413,2646.9858749417936,2,0
39,50337.88736285547,273,0,90,0.3660562312503466,2777.6016101668692,1,0
31,31187.707425765886,13,1,36,0.12343075404340063,1837.060634387819,2,0
60,82226.71932388544,901,0,44,0.09912415569405672,4882.849069038841,2,0
39,5817.83810875819,67,1,90,0.26024187802094284,794.6864611770097,4,0
35,48322.78474194423,245,0,31,0.22465569228901744,2752.996824958014,4,0
36,68014.69265665654,369,1,228,0.6111188854568721,3429.7428518954985,3,0
